Variable name,EnergyEfficiency,ExergyEfficiency,EfficiencyDefect,IrreversibilityShare

ME1
Comp,1.0000529826651308,0.8360673104871618,0.16176484831366905,0.027575574210770795
Turbine,0.974147377731464,0.8792543252067003,0.05527710084942099,0.03352038977625287
BPsplit,,,-1.003935245132365e-18,-1.247558386656582e-19
BPmerge,,,0.05363667348437349,0.029485254556498655
BPvalve,,,0.06126592193586859,0.0021647139707580724
CAC_HT,,0.9037087341366187,0.004311124300151594,0.0022793824835761643
CAC_LT,,0.5520452996954279,0.021735774001516793,0.0037391170438238436
LOC,,0.5794371005003583,0.09521958410239227,0.02141788032776958
JWC,,0.6444399635015806,0.03534674986248019,0.01608919014789995
Cyl,0.396581343112442,0.39200968167748246,0.33007015256594874,0.8399776054941832
HTsplit,,,5.561067113235489e-19,2.7691263927549363e-19
HTmerge,,,0.008415985717957073,0.003199584352008246
TCshaft,0.8505993388096318,0.8505993388096318,0.11280162423808936,0.020551307636461333

ME2
Comp,0.9998085725062462,0.8319387318580247,0.16571782902561671,0.02510264108185881
Turbine,0.9706103803681606,0.8753125084832278,0.054638916039849966,0.03118703589781389
BPsplit,,,-1.105495547087842e-18,-2.5034168428709273e-20
BPmerge,,,0.05899515855257202,0.0305695683451214
BPvalve,,,0.06155130005442253,0.002007938324787139
CAC_HT,,0.9442724351248724,0.0031939537868001387,0.0013118079320028969
CAC_LT,,0.5479439647232174,0.026149760313353882,0.00376950080203149
LOC,,0.5828307631217055,0.10029486474516622,0.0204385884724927
JWC,,0.6625217400479554,0.05369598977180669,0.016401393110439713
Cyl,0.40279797732895595,0.39879766441421205,0.326878772090159,0.8037911578774533
HTsplit,,,-1.585186080811043e-19,-5.267384153907469e-20
HTmerge,,,0.013730002964373994,0.0032495046906675117
TCshaft,0.8487502528248941,0.8487502528248941,0.11421143377412174,0.018618199151020358
HRSG,,0.6742102960146498,0.1428496525237503,0.043552664314309826

ME3
Comp,0.9998709803316445,0.8326448444889889,0.16480840670641655,0.024244497104602133
Turbine,0.9735700152331226,0.8848232978294465,0.05213396976488108,0.02788004186229819
BPsplit,,,2.4263227081662047e-19,1.263532196708563e-19
BPmerge,,,0.05330545342224427,0.025547997232715926
BPvalve,,,0.13322109204361307,0.001665727169138325
CAC_HT,,0.9190335441240289,0.0035874505006065647,0.0017222341896402124
CAC_LT,,0.554391329239644,0.021798107592483552,0.003475286965863819
LOC,,0.5837173852944932,0.10607000855736518,0.022783187155616464
JWC,,0.6491408861811712,0.04637216165144592,0.018867081233924558
Cyl,0.40078695018449273,0.39675917220326934,0.33768297213108484,0.8157778318186971
HTsplit,,,-0.016660636434456106,-0.0034310450329826186
HTmerge,,,0.010044665690125342,0.00690355843039359
TCshaft,0.8457038869852908,0.8457038869852908,0.1164840183836615,0.018391364180030113
HRSG,,0.6813816017362756,0.13055013259883344,0.036172237690062066

ME4
Comp,1.0001535286855003,0.8374782775899574,0.1602280159222801,0.026723406255463347
Turbine,0.9754357327366863,0.8782733219832649,0.0562626032003051,0.03322239722459998
BPsplit,,,-1.0432776536759775e-18,-8.731109727825882e-20
BPmerge,,,0.045033394094508974,0.024323845580897344
BPvalve,,,0.16462142210473718,0.0011389348518413417
CAC_HT,,0.9007509363247957,0.004564400910578562,0.0023474021009030678
CAC_LT,,0.543848393324753,0.023923771498136088,0.0041947891485023744
LOC,,0.5777774428489078,0.09968949867881287,0.02201039312241391
JWC,,0.6485634387096745,0.0409232540838095,0.016965616855028124
Cyl,0.39835921105315375,0.3930581071689988,0.3348350480759331,0.8461996923859533
HTsplit,,,-0.010723095389421478,0.00019380814564543783
HTmerge,,,0.009447587367781958,0.003178400920506663
TCshaft,0.8532128828869092,0.8532128828869092,0.11090120265791398,0.019501313408242522

AE1
Comp,0.9972138712019939,0.7952798544574092,0.20455081180737664,0.020938007832633953
Turbine,0.9782933753899041,0.9890184898083965,0.003425494173676233,0.008936075185457358
