,Steam:Boiler1:FuelPh_in:mdot
2013-12-03,46429531.06361189
2013-12-04,74727264.33728157
2013-12-05,54879413.95579784
2013-12-06,82689272.94710217
2013-12-07,87418075.69700368
2013-12-08,91735867.51107648
2013-12-09,90844487.52134563
2013-12-10,68112716.39241847
2013-12-11,46609971.09531445
2013-12-12,53867001.124174505
2013-12-13,48080299.54999813
2013-12-14,105188100.38469905
2013-12-15,58765003.726196334
2013-12-16,52080345.32016497
2013-12-17,44052981.394425735
2013-12-18,63259471.28175667
2013-12-19,51675792.20689518
2013-12-20,53784787.48159614
2013-12-21,57423085.5788395
2013-12-22,52747411.710091874
2013-12-23,49407581.22435676
2013-12-24,116765423.26956859
2013-12-25,73337866.31723368
2013-12-26,42337976.279831596
2013-12-27,61094444.63260236
2013-12-28,47172132.860815115
2013-12-29,51440031.7519444
2013-12-30,52939243.574041545
2013-12-31,79728716.94775935
2014-01-01,37003823.098050304
2014-01-02,52160646.1922367
2014-01-03,49751165.825865924
2014-01-04,41388819.03356632
2014-01-05,57140583.15262348
2014-01-06,47723086.44628401
2014-01-07,45964340.60869551
2014-01-08,54260364.413796194
2014-01-09,60072706.35471298
2014-01-10,78319703.6862353
2014-01-11,98193517.62152165
2014-01-12,120813687.04742397
2014-01-13,121381728.09390904
2014-01-14,128041731.69209635
2014-01-15,120601922.19017415
2014-01-16,118732551.18703043
2014-01-17,137158303.3825205
2014-01-18,111093138.8076392
2014-01-19,127361290.82586974
2014-01-20,113080266.59471732
2014-01-21,100019310.54617676
2014-01-22,140430723.30040604
2014-01-23,150750920.42495093
2014-01-24,122646236.83984122
2014-01-25,120533037.61248423
2014-01-26,109165316.79957081
2014-01-27,97902142.10152784
2014-01-28,104770802.60453753
2014-01-29,126203740.46080665
2014-01-30,116026323.7074218
2014-01-31,116551037.39733359
2014-02-01,75844510.87914787
2014-02-02,72136486.80634125
2014-02-03,70745488.57842126
2014-02-04,74865271.902983
2014-02-05,68836605.90282018
2014-02-06,74641516.09163658
2014-02-07,70287626.43322873
2014-02-08,56974273.02559577
2014-02-09,64852982.47833039
2014-02-10,65945293.35921363
2014-02-11,79904294.70332092
2014-02-12,76028503.0631653
2014-02-13,86161486.12418488
2014-02-14,74667589.04420665
2014-02-15,93037624.73294815
2014-02-16,62672705.92766612
2014-02-17,61981012.05914957
2014-02-18,83965732.85041043
2014-02-19,86340516.70303853
2014-02-20,106891557.44047911
2014-02-21,100429056.79229861
2014-02-22,91371775.59013079
2014-02-23,67724575.1711324
2014-02-24,64841971.667302944
2014-02-25,64182832.2284173
2014-02-26,73783587.09192908
2014-02-27,65204874.84646944
2014-02-28,73750616.82538526
2014-03-01,73803651.7552849
2014-03-02,71950249.57818833
2014-03-03,70894217.45946531
2014-03-04,82612450.6383477
2014-03-05,72705616.31316155
2014-03-06,72913991.52793527
2014-03-07,72722174.77147482
2014-03-08,47928958.932821274
2014-03-09,51382282.74104758
2014-03-10,62564851.412507646
2014-03-11,56845423.45859723
2014-03-12,57516165.010689475
2014-03-13,59376120.58652112
2014-03-14,58252482.687759034
2014-03-15,86699027.84156686
2014-03-16,96588174.69676358
2014-03-17,87722755.77994557
2014-03-18,92411317.80604364
2014-03-19,105661525.45949802
2014-03-20,70512473.76140751
2014-03-21,54629281.825778835
2014-03-22,63733665.3520041
2014-03-23,71762841.92112613
2014-03-24,62914759.45760219
2014-03-25,63588050.728164345
2014-03-26,65550618.40601336
2014-03-27,73956319.82338914
2014-03-28,67377011.14552566
2014-03-29,69586766.36071016
2014-03-30,68744666.98091015
2014-03-31,83399450.02900562
2014-04-01,75852996.90787841
2014-04-02,70787425.99428815
2014-04-03,65831714.87399655
2014-04-04,73926034.73506811
2014-04-05,61795469.27361915
2014-04-06,56119042.45919405
2014-04-07,48914882.650937065
2014-04-08,68532705.58494061
2014-04-09,67888611.27820978
2014-04-10,68749796.60827033
2014-04-11,69421706.90655723
