Stationsnamn;Stationsid;Stationens latitud;Stationens longitud
LANDSORT NORRA;2507;58.77;17.86

Parameternamn;Enhet
Havstemperatur;°C

Datum Tid (UTC);Havstemperatur;Kvalitet;Mätdjup;;Tidsutsnitt
2010-06-17 11:00:00;13.11;O;01m;;Tidsperiod (fr.o.m.) = 2010-06-17 10:00:00 (UTC)
2010-06-17 12:00:00;13.79;O;01m;;Tidsperiod (t.o.m.) = 2017-06-01 11:59:59 (UTC)
2010-06-17 13:00:00;13.55;O;01m;;
2010-06-17 14:00:00;13.47;O;01m;;Kvalitetskoderna:
2010-06-17 15:00:00;13.43;O;01m;;Grön (G) = Kontrollerade och godkända värden.
2010-06-17 16:00:00;13.41;O;01m;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-06-17 17:00:00;13.60;O;01m;;Orange (O) = Okontrollerade värden.
2010-06-17 18:00:00;13.66;O;01m;;
2010-06-17 19:00:00;13.69;O;01m;;Orsaker till saknade data:
2010-06-17 20:00:00;13.74;O;01m;;  stationen eller givaren har varit ur funktion.
2010-06-17 21:00:00;13.74;O;01m;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-06-17 22:00:00;13.72;O;01m
2010-06-17 23:00:00;13.71;O;01m
2010-06-18 00:00:00;13.72;O;01m
2010-06-18 01:00:00;13.67;O;01m
2010-06-18 02:00:00;13.62;O;01m
2010-06-18 03:00:00;13.56;O;01m
2010-06-18 04:00:00;13.54;O;01m
2010-06-18 05:00:00;13.53;O;01m
2010-06-18 06:00:00;13.48;O;01m
2010-06-18 07:00:00;13.46;O;01m
2010-06-18 08:00:00;13.48;O;01m
2010-06-18 09:00:00;13.50;O;01m
2010-06-18 10:00:00;13.52;O;01m
2010-06-18 11:00:00;13.55;O;01m
2010-06-18 12:00:00;13.52;O;01m
2010-06-18 13:00:00;13.52;O;01m
2010-06-18 14:00:00;13.57;O;01m
2010-06-18 15:00:00;13.55;O;01m
2010-06-18 16:00:00;13.49;O;01m
2010-06-18 17:00:00;13.53;O;01m
2010-06-18 18:00:00;13.55;O;01m
2010-06-18 19:00:00;13.51;O;01m
2010-06-18 20:00:00;13.47;O;01m
2010-06-18 21:00:00;13.44;O;01m
2010-06-18 22:00:00;13.43;O;01m
2010-06-18 23:00:00;13.40;O;01m
2010-06-19 00:00:00;13.36;O;01m
2010-06-19 01:00:00;13.31;O;01m
2010-06-19 02:00:00;13.29;O;01m
2010-06-19 03:00:00;13.26;O;01m
2010-06-19 04:00:00;13.23;O;01m
2010-06-19 05:00:00;13.21;O;01m
