2018-01-09 11:38:03.013438

Index:14 ;Name: AE1-CAC_AIR_P_OUT ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 2.87 ;Low: 0.1324 ;Values filtered: 190 ;Absolute sum: 29.081777123817137 ;Average/point: 0.153061984862
Index:15 ;Name: AE1-CAC_AIR_T_OUT ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 65 ;Low: 40 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:57 ;Name: AE1__RPM_ ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 800 ;Low: 100 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:60 ;Name: AE1-TC_EG_T_IN1 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 550 ;Low: 150 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:61 ;Name: AE1-TC_EG_T_IN2 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 550 ;Low: 150 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:62 ;Name: AE1-TC_EG_T_OUT ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 450 ;Low: 150 ;Values filtered: 48 ;Absolute sum: 3062.3666666666663 ;Average/point: 63.7993055556
Index:75 ;Name: AE1-CYL_FUEL_T_IN ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 120 ;Low: 20 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:78 ;Name: AE1__FRP_ ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 47 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:81 ;Name: AE1-HT-JWC_FW_P_IN ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 4.5 ;Low: 0.8 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:82 ;Name: AE1-HT_FW_T_IN ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 95 ;Low: 60 ;Values filtered: 1 ;Absolute sum: 54.30000000000001 ;Average/point: 54.3
Index:89 ;Name: AE1-LOC_OIL_P_IN ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 5.5 ;Low: 1.4 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
