
Index:14 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 2.87 ;Low: 0.1324 ;Values filtered: 199 ;Absolute sum: 30.215110430576736 ;Average/point: 0.151834725782
Index:15 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 65 ;Low: 40 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:57 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 800 ;Low: 100 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:60 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 550 ;Low: 150 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:61 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 550 ;Low: 150 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:62 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 450 ;Low: 150 ;Values filtered: 53 ;Absolute sum: 3426.6666666666665 ;Average/point: 64.6540880503
Index:75 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 120 ;Low: 20 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:78 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 47 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:81 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 4.5 ;Low: 0.8 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:82 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 95 ;Low: 60 ;Values filtered: 1 ;Absolute sum: 54.30000000000001 ;Average/point: 54.3
Index:89 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 5.5 ;Low: 1.4 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:96 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 60 ;Low: 30 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:97 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 4.5 ;Low: 1 ;Values filtered: 1 ;Absolute sum: 1.6233334024747212 ;Average/point: 1.62333340247
Index:98 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 60 ;Low: 30 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:99 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 65 ;Low: 35 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:100 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 3000 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:122 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 27400 ;Low: 5000 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:441 ;Relation: > ;Value: 5000.0 ;Var: AE1-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:442 ;Relation: > ;Value: 5000.0 ;Var: AE2-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 1 ;Absolute sum: 34.525032679239914 ;Average/point: 34.5250326792
Index:443 ;Relation: > ;Value: 5000.0 ;Var: AE3-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:444 ;Relation: > ;Value: 5000.0 ;Var: AE4-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 2 ;Absolute sum: 75.27716840108235 ;Average/point: 37.6385842005
Index:445 ;Relation: > ;Value: 5000.0 ;Var: ME2-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 2 ;Absolute sum: 86.58852513631186 ;Average/point: 43.2942625682
Index:446 ;Relation: > ;Value: 5000.0 ;Var: ME3-TC__RPM_ ;High: 450 ;Low: 70 ;Values filtered: 2 ;Absolute sum: 143.57998008728026 ;Average/point: 71.7899900436
Index:477 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 100 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 294.05220413208 ;Average/point: 98.0174013774
Index:479 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 100 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 280.989013671875 ;Average/point: 93.6630045573
Index:497 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 35.934067726135254 ;Average/point: 11.9780225754
Index:499 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 160.76922988891602 ;Average/point: 53.5897432963
Index:501 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 161.20878982543942 ;Average/point: 53.7362632751
Index:517 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 45 ;Low: 10 ;Values filtered: 3 ;Absolute sum: 91.35989427566528 ;Average/point: 30.4532980919
Index:518 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 45 ;Low: 10 ;Values filtered: 3 ;Absolute sum: 84.61538505554199 ;Average/point: 28.2051283518
Index:519 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 35 ;Low: -10 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:520 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 90 ;Low: 60 ;Values filtered: 29 ;Absolute sum: 700.2307590484619 ;Average/point: 24.1458882431
Index:525 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 45 ;Low: 25 ;Values filtered: 15 ;Absolute sum: 117.56502129236864 ;Average/point: 7.83766808616
