Variable name,EnergyEfficiency,ExergyEfficiency,EfficiencyDefect,IrreversibilityShare

ME1
Comp,1.0,0.8359557445189807,0.047986973315578135,0.027936392628027946
Turbine,1.0,0.9025495067888297,0.013550057706058445,0.028244581035482226
BPsplit,,,-2.9759918353852386e-19,-1.254643059722429e-19
BPmerge,,,0.01589966117243686,0.02965438708139315
BPvalve,,,0.01816121949622908,0.0021785032677889985
CAC_HT,,0.8982444642026618,0.0011497283438060353,0.002368726175187719
CAC_LT,,0.5520452996954275,0.006443193052333189,0.0037611170339440047
LOC,,0.5799729672379955,0.029778094980610008,0.023025638147369694
JWC,,0.642818510230976,0.008901081002351553,0.01760365456668466
Cyl,0.396581343112442,0.39200968167748246,0.09698627116703673,0.8370359140317133
HTsplit,,,-4.942409218651925e-05,-4.43082808775043e-05
HTmerge,,,0.0020631811794783136,0.003560250047630669
TCshaft,0.828836267928038,0.828836267928038,0.03831791961202383,0.024675144265655907

ME2
Comp,1.0,0.8320330087891155,0.05325318624828946,0.02537530030286161
Turbine,1.0,0.9017494365431719,0.014218994573056865,0.02574576336581641
BPsplit,,,-3.5543701008823145e-19,-2.5090760227477686e-20
BPmerge,,,0.018968021011794418,0.030750529036707018
BPvalve,,,0.01978986719215537,0.002020526640187414
CAC_HT,,0.9205253804282877,0.0009227176442249341,0.0015874416939914134
CAC_LT,,0.5479439647232173,0.008407625561936215,0.0037918125259603476
LOC,,0.5841894540117089,0.03383492152055277,0.02185202086274611
JWC,,0.6554097762151955,0.01087585162514764,0.01806206755459487
Cyl,0.40279797732895595,0.39879766441421205,0.10422205208374535,0.8014603904775662
HTsplit,,,-1.082629399124707e-18,-1.7389524473446784e-18
HTmerge,,,0.002518432945467027,0.003512598624863163
TCshaft,0.8238035332241188,0.8238035332241188,0.042779401943449306,0.022891125655553547
HRSG,,0.6801855312477202,0.04503798139631013,0.04295042325914893

ME3
Comp,1.0,0.8326866439901163,0.054694499604003036,0.024506493462298728
Turbine,1.0,0.9088126667536639,0.014176411280088709,0.02334205720442876
BPsplit,,,8.053812619486622e-20,1.2687379150655226e-19
BPmerge,,,0.0176939420306542,0.025684335543170976
BPvalve,,,0.044220734062764375,0.0016757908456823379
CAC_HT,,0.9097681544325068,0.001082059803213009,0.0018421590876705849
CAC_LT,,0.5543913292396442,0.0072355533506899645,0.003494030250638623
LOC,,0.5840567314717587,0.0366976912750302,0.024119068764752838
JWC,,0.6462161204857869,0.012409601039329553,0.020227632568520195
Cyl,0.40078695018449273,0.39675917220326934,0.11124741426069505,0.813001744436801
HTsplit,,,-0.00037314212112942005,0.0009795770691511556
HTmerge,,,0.0025402012173400875,0.003517478993499832
TCshaft,0.823508110876056,0.823508110876056,0.0442112058960902,0.021923800792276675
HRSG,,0.6860974704584417,0.042584450238180915,0.03568583098110513

ME4
Comp,1.0,0.8372819867215621,0.049122398193789454,0.027080922959916237
Turbine,1.0,0.9003536475691817,0.014447176075913067,0.028351691435850507
BPsplit,,,-3.1944423362698524e-19,-8.766354925856337e-20
BPmerge,,,0.013788906542237064,0.024452549261312403
BPvalve,,,0.050405914319683935,0.0011470430524679665
CAC_HT,,0.8911096715220418,0.0012323065989767,0.0024921457413064722
CAC_LT,,0.543848393324753,0.00732528950923237,0.004217204590489742
LOC,,0.5781699843654518,0.03204961557068995,0.02348944491215439
JWC,,0.6456173993060643,0.009697279968793836,0.018445903421154125
Cyl,0.39835921105315375,0.3930581071689988,0.10170526830609536,0.8433463946285746
HTsplit,,,-0.0002757656717326186,0.00033398667264291184
HTmerge,,,0.002104101691543489,0.0033721116473789184
TCshaft,0.8325763776953404,0.8325763776953404,0.038733267647857915,0.023270601676750945

AE1
Comp,1.0,0.7974349666094933,0.10868442728510011,0.009940907240082975
Turbine,1.0,1.0096736687739647,-0.0024993439536397954,0.03980208555037124
BPsplit,,,0.0,0.0
BPmerge,,,-1.2597606442729549e-18,-1.3935069498244518e-18
