VariableName,Total,Port/Stay,Low Speed Sailing,Maneuvering,High Speed Sailing,Winter,Mid-Season,Summer
ME1:Comp:Air_in:Edot,1101669.1488196107,1374.43398208725,907476.9486973418,99128.9366955338,93688.82944464791,558531.7375316193,406892.3553505086,136245.05593748292
ME1:Comp:Air_out:Edot,6028631.515212956,2995.1966769175247,4538998.413135679,544229.614671174,942408.2907291845,2476530.7240433833,2430913.5528259943,1121187.2383435783
ME1:Comp:Power_in:Edot,4926962.3663933445,1620.7626948302748,3631521.4644383383,445100.67797564017,848719.4612845366,1917998.986511764,2024021.1974754857,984942.1824060956
ME1:Turbine:Mix_in:Edot,26133293.75924512,24798.038039202675,20343136.06369998,2503019.3107226877,3262340.3467832473,10406716.636117514,11002043.307135884,4724533.815991722
ME1:Turbine:Mix_out:Edot,20405786.28217538,22474.266110033128,16088252.125906378,1982481.8149556865,2312578.0752032814,8171022.899578282,8639446.827030286,3595316.555566811
ME1:Turbine:Power_out:Edot,5727507.477069739,2323.7719291695494,4254883.937793602,520537.49576700164,949762.271579966,2235693.7365392325,2362596.4801055966,1129217.2604249103
ME1:BPsplit:Air_in:Edot,6028631.515212956,2995.1966769175247,4538998.413135679,544229.614671174,942408.2907291845,2476530.7240433833,2430913.5528259943,1121187.2383435783
ME1:BPsplit:Air_out:Edot,4650528.374369378,2551.679771344391,3383154.4763691616,431964.340037779,832857.8781910937,1850812.6026516214,1850285.7799535263,949429.9917642316
ME1:BPsplit:BP_out:Edot,1378103.1408435765,443.51690557313367,1155843.9367665176,112265.27463339495,109550.41253809094,625718.1213917618,580627.772872468,171757.2465793469
ME1:BPmerge:EG_in:Edot,24783272.588095672,24353.99368806141,19212764.808275636,2392964.3879362354,3153189.3981957394,9790442.0391864,10434350.397297293,4558480.151611979
ME1:BPmerge:Mix_out:Edot,26133293.75924512,24798.038039202675,20343136.06369998,2503019.3107226877,3262340.3467832473,10406716.636117514,11002043.307135884,4724533.815991722
ME1:BPmerge:BP_in:Edot,1378113.1931967188,446.6371479751083,1155850.8688772577,112265.27463339495,109550.41253809094,625726.1903722394,580629.7562451323,171757.2465793469
ME1:BPvalve:BP_in:Edot,1378103.1408435765,443.51690557313367,1155843.9367665176,112265.27463339495,109550.41253809094,625718.1213917618,580627.772872468,171757.2465793469
ME1:BPvalve:BP_out:Edot,1378113.1931967188,446.6371479751083,1155850.8688772577,112265.27463339495,109550.41253809094,625726.1903722394,580629.7562451323,171757.2465793469
ME1:CAC_HT:Air_in:Edot,4650528.374369378,2551.679771344391,3383154.4763691616,431964.340037779,832857.8781910937,1850812.6026516214,1850285.7799535263,949429.9917642316
ME1:CAC_HT:HTWater_in:Edot,115006189.96590602,285151.2251375937,94524546.78456599,12365071.30198935,7831420.654213093,50408711.15700522,48861683.0062237,15735795.802677106
ME1:CAC_HT:Air_out:Edot,3301541.1447767573,2551.679771344391,2514769.894158945,303738.08657448017,480481.48427198746,1368969.0401167113,1330878.0220311177,601694.0826289281
