VariableName,Total,Port/Stay,Low Speed Sailing,Maneuvering,High Speed Sailing,Winter,Mid-Season,Summer
ME1:Comp:Air_in:Bdot,39471.81711385481,51.06108145080379,33528.25547104857,3296.2182564762006,2596.2823048792634,23973.32263157035,12085.989124532882,3412.5053577515814
ME1:Comp:Air_out:Bdot,4268202.3546489095,1154.030726815979,3134450.435212896,383528.8028109402,749069.085898246,1670471.3403771531,1741777.0653855235,855953.9488862234
ME1:Comp:Power_in:Bdot,4926962.36639334,1620.7626948302745,3631521.4644383346,445100.67797564005,848719.4612845362,1917998.986511767,2024021.1974754871,984942.1824060943
ME1:Turbine:Mix_in:Bdot,13691293.711491883,9480.052429615938,10472891.846064072,1282833.9285234457,1926087.8844746873,5421453.953725818,5688091.452572024,2581748.305194029
ME1:Turbine:Mix_out:Bdot,7010992.374030149,7281.95826820349,5536939.85278305,678972.6773025016,787797.8856763779,2835006.865136801,2936666.566599136,1239318.9422941927
ME1:Turbine:Power_out:Bdot,5727507.477069762,2323.771929169548,4254883.937793602,520537.4957670013,949762.2715799661,2235693.7365392307,2362596.480105599,1129217.2604249094
ME1:BPsplit:Air_in:Bdot,4268202.3546489095,1154.030726815979,3134450.435212896,383528.8028109402,749069.085898246,1670471.3403771531,1741777.0653855235,855953.9488862234
ME1:BPsplit:Air_out:Bdot,3303677.300317511,968.118972651525,2333489.5855239644,304745.1573659069,664474.4384549882,1247145.9746258773,1327048.476665942,729482.8490256821
ME1:BPsplit:BP_out:Bdot,964525.0543313968,185.91175416445384,800960.8496889407,78783.64544503369,84594.64744325733,423325.3657512781,414728.5887195779,126471.09986053956
ME1:BPmerge:EG_in:Bdot,13416665.672558771,9799.347425777496,10266212.692526659,1263787.9141195924,1876865.7184867715,5285522.886158864,5581754.488572039,2549388.2978279167
ME1:BPmerge:Mix_out:Bdot,13691293.711491883,9480.052429615938,10472891.846064072,1282833.9285234457,1926087.8844746873,5421453.953725818,5688091.452572024,2581748.305194029
ME1:BPmerge:BP_in:Bdot,954063.1167425244,183.8557193723047,792183.2875761527,77927.6900964101,83768.28335058768,418857.60996937536,410136.68562154396,125068.82115160224
ME1:BPvalve:BP_in:Bdot,964525.0543313968,185.91175416445384,800960.8496889407,78783.64544503369,84594.64744325733,423325.3657512781,414728.5887195779,126471.09986053956
ME1:BPvalve:BP_out:Bdot,954063.1167425244,183.8557193723047,792183.2875761527,77927.69009641008,83768.28335058768,418857.60996937536,410136.6856215439,125068.82115160224
ME1:CAC_HT:Air_in:Bdot,3303677.300317511,968.118972651525,2333489.5855239644,304745.1573659069,664474.4384549882,1247145.9746258773,1327048.476665942,729482.8490256821
ME1:CAC_HT:HTWater_in:Bdot,13813724.23371803,32600.46862213637,11482246.745255867,1434554.1509268924,864322.8689130982,6505354.652806177,5640253.796277959,1668115.7846339175
ME1:CAC_HT:Air_out:Bdot,2934772.475811577,968.118972651525,2103917.7448631017,269201.2632671323,560685.3487086968,1111388.705752373,1190548.2310515977,632835.53900761
ME1:CAC_HT:HTWater_out:Bdot,14109118.840691725,32600.46862213637,11677515.61814064,1462164.7732602002,936837.9806687294,6619928.63261076,5751897.02671627,1737293.181364719
ME1:CAC_LT:Air_in:Bdot,2934772.475811577,968.118972651525,2103917.7448631017,269201.2632671323,560685.3487086968,1111388.705752373,1190548.2310515975,632835.53900761
ME1:CAC_LT:LTWater_in:Bdot,1426085.1203925,3567.1423332076565,1213708.4406581775,134657.48791565874,74152.04948545527,826607.0353307276,498856.6447853741,100621.44027640343
ME1:CAC_LT:Air_out:Bdot,2667051.5493169,941.9943270455792,1909577.6688248022,246356.03917861017,510175.8469864394,1003910.2000534538,1086730.444089395,576410.9051740565
ME1:CAC_LT:LTWater_out:Bdot,1563000.1769424453,3583.593044933372,1318187.3773538661,145766.05975983734,95463.14678380708,889094.0374122643,550498.9372992483,123407.20223093237
ME1:LOC:LubOil_in:Bdot,3776537.573552465,10967.625804870046,3115481.4643410067,399931.23765006557,250157.24575651187,1825474.65367992,1512936.2262902467,438126.6935822857
ME1:LOC:LTWater_in:Bdot,1563000.1769424453,3583.593044933372,1318187.3773538661,145766.05975983734,95463.14678380708,889094.0374122643,550498.9372992483,123407.20223093237
ME1:LOC:LubOil_out:Bdot,2869295.1635342194,8316.639478139165,2380153.2650294923,299783.80988884607,181041.4491377384,1425720.1598470898,1129916.048927303,313658.9547598292
ME1:LOC:LTWater_out:Bdot,2093489.320799046,5114.474962485541,1753277.1569447333,202515.43282324888,132582.25606857587,1142045.2744447745,765377.049069554,186066.99728471355
ME1:JWC:QdotJW_in:Bdot,1770429.3785562504,5202.897131934579,1428275.1279267813,199480.92704178437,137470.42645575007,740616.9587792394,767304.010264289,262508.4095127248
