,totalElectricDemand,heatDemand
2013-12-03 00:00:00,1678.8348876953125,1517.873398553817
2013-12-03 00:15:00,1679.9475748697917,1516.2468891173367
2013-12-03 00:30:00,1671.3130289713545,1514.6203796808568
2013-12-03 00:45:00,1650.2305235703789,1512.9938702443806
2013-12-03 01:00:00,1525.4935994466143,1511.3673608079002
2013-12-03 01:15:00,1624.6129801432294,1509.7408513714201
2013-12-03 01:30:00,1621.7422200520834,1508.11434193494
2013-12-03 01:45:00,1626.8828857421875,1506.48783249846
2013-12-03 02:00:00,1611.2160481770834,1504.8613230619796
2013-12-03 02:15:00,1625.1248209635417,1503.2348136254996
2013-12-03 02:30:00,1607.9113362630205,1501.6083041890236
2013-12-03 02:45:00,1603.0710774739584,1499.9817947525432
2013-12-03 03:00:00,1595.259920247396,1498.3552853160627
2013-12-03 03:15:00,1592.5560546875,1496.7287758795826
2013-12-03 03:30:00,1596.7954427083334,1495.1022664431025
2013-12-03 03:45:00,4713.046878052456,1493.4757570066224
2013-12-03 04:00:00,1612.907373046875,1729.646437644218
2013-12-03 04:15:00,1630.087451171875,1728.0199282077376
2013-12-03 04:30:00,1627.305712890625,1726.3934187712616
2013-12-03 04:45:00,1650.3608642578124,1724.7669093347815
2013-12-03 05:00:00,6881.152805598405,1842.0389949353391
2013-12-03 05:15:00,7250.17271941328,1840.4124854988588
2013-12-03 05:30:00,7247.3111298942895,1838.785976062379
2013-12-03 05:45:00,7286.127399656681,1837.1594666258986
2013-12-03 06:00:00,7286.114612784219,2040.0454030894184
2013-12-03 06:15:00,8181.780624825098,2030.5820754589915
2013-12-03 06:30:00,8079.918582548175,2021.1187478285656
2013-12-03 06:45:00,5212.8265734448,2011.6554201981392
2013-12-03 07:00:00,2235.5254092772802,2206.704538467712
2013-12-03 07:15:00,1778.2880777994794,2197.2412108372864
2013-12-03 07:30:00,1816.0753824869794,2187.7778832068598
2013-12-03 07:45:00,1810.5007486979168,2178.3145555764295
2013-12-03 08:00:00,1820.6040690104169,1970.686902884273
