From,,To,,Type,Total,Port/Stay,Low Speed Sailing,Maneuvering,High Speed Sailing,Winter,Mid-Season,Summer
E,Environment,ME,Compressor,Physical,4.57,0.005,3.819,0.385,0.359,2.327,1.671,0.571
ME,Compressor,ME,CAC-HT,Physical,19.27,0.010,14.412,1.645,3.208,7.494,7.822,3.958
ME,CAC-HT,ME,CAC-LT,Physical,13.98,0.010,10.900,1.190,1.885,5.717,5.728,2.541
ME,CAC-LT,ME,Cylinder,Physical,7.35,0.009,5.951,0.655,0.737,3.340,2.969,1.043
ME,Turbine,ME,Compressor,Work,20.16,0.006,15.287,1.659,3.207,7.539,8.523,4.098
ME,Cylinder,ME,Turbine,Physical,103.85,0.093,82.544,9.285,11.924,41.276,43.973,18.597
ME,Turbine,E,HRSG,Physical,44.77,0.044,36.434,3.974,4.318,18.383,18.840,7.546
ME,Turbine,E,Losses,Heat,3.32,0.003,2.652,0.289,0.378,1.307,1.425,0.590
ME,Compressor,ME,Bypass valve,Physical,24.73,0.011,19.106,2.045,3.567,9.866,10.194,4.669
ME,Bypass valve,ME,Turbine,Physical,5.45,0.002,4.694,0.399,0.359,2.372,2.372,0.711
ME,CAC-HT,CS,HT Cooling,Heat,5.29,0.000,3.512,0.455,1.323,1.778,2.094,1.418
ME,CAC-LT,CS,LT Cooling,Heat,6.63,0.001,4.949,0.535,1.147,2.377,2.758,1.497
ME,Cylinder,ME,LOC,Heat,24.36,0.067,19.869,2.665,1.763,9.835,10.735,3.793
ME,Cylinder,ME,JWC,Heat,24.36,0.067,19.869,2.665,1.763,9.835,10.735,3.793
ME,JWC,CS,HT Cooling,Heat,24.36,0.067,19.869,2.665,1.763,9.835,10.735,3.793
ME,LOC,CS,LT Cooling,Heat,24.36,0.067,19.869,2.665,1.763,9.835,10.735,3.793
ME,Cylinder,E,Losses,Heat,2.59,0.007,2.133,0.280,0.172,1.054,1.143,0.396
ME,HRSG,S,Boiler,Heat,13.41,0.018,11.130,1.277,0.987,5.810,5.439,2.163
ME,HRSG,E,Environment,Physical,31.36,0.025,25.304,2.697,3.331,12.573,13.402,5.383
ME,Cylinder,P,Propeller shaft,Work,107.39,0.141,85.158,10.141,11.947,42.238,45.916,19.233
,,,,,,,,,,,,
E,Environment,AE,Compressor,Physical,0.42,0.132,0.230,0.050,0.007,0.250,0.092,0.077
AE,Compressor,AE,CAC-HT,Physical,9.96,3.636,5.083,0.891,0.345,4.338,3.854,1.764
AE,CAC-HT,AE,CAC-LT,Physical,8.91,3.130,4.677,0.831,0.272,3.993,3.542,1.375
AE,CAC-LT,AE,Cylinder,Physical,5.62,1.757,3.129,0.594,0.144,2.753,2.200,0.672
