AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE SCR CBD10 230V IS:6858:-:Average:900;AESCR_CBD
AE SCR CBD10 24V ISO:6857:-:Average:900;testAE SCR CBD10 24V ISO:6857:-:Average:900
AE SCR CBD10 FUSE:6856:-:Average:900;testAE SCR CBD10 FUSE:6856:-:Average:900
AE SCR CBD10 WARNING:6853:-:Average:900;testAE SCR CBD10 WARNING:6853:-:Average:900
AE SCR CFC20 230V IS:6868:-:Average:900;testAE SCR CFC20 230V IS:6868:-:Average:900
AE SCR CFC20 AIR CON:6874:-:Average:900;testAE SCR CFC20 AIR CON:6874:-:Average:900
AE SCR CFC20 ANALYS:6867:-:Average:900;testAE SCR CFC20 ANALYS:6867:-:Average:900
AE SCR CFC20 HUMIDIT:6873:-:Average:900;testAE SCR CFC20 HUMIDIT:6873:-:Average:900
AE SCR CFC20 MEAS GA:6871:-:Average:900;testAE SCR CFC20 MEAS GA:6871:-:Average:900
AE SCR CFC20 U23 DEV:6870:-:Average:900;testAE SCR CFC20 U23 DEV:6870:-:Average:900
AE SCR CFC20 WASH BO:6876:-:Average:900;testAE SCR CFC20 WASH BO:6876:-:Average:900
AE SCR CFC20 WASH FL:6875:-:Average:900;testAE SCR CFC20 WASH FL:6875:-:Average:900
AE SCR NOX SIGNAL:6866:-:Average:900;testAE SCR NOX SIGNAL:6866:-:Average:900
AE1 CA OTL CAC PRESS:1649:Bar:Average:900;testAE1 CA OTL CAC PRESS:1649:Bar:Average:900
AE1 CA OTL CAC TEMP:1654:  C:Average:900;testAE1 CA OTL CAC TEMP:1654:  C:Average:900
AE1 CAC PRESS DIFF:1652:mBar:Average:900;testAE1 CAC PRESS DIFF:1652:mBar:Average:900
AE1 CTRL AIR PRESS:1623:Bar:Average:900;testAE1 CTRL AIR PRESS:1623:Bar:Average:900
AE1 CYL EXHAUST T:1501_S:C:Average:900;testAE1 CYL EXHAUST T:1501_S:C:Average:900
AE1 CYL1 LINER 1 TEM:1701:  C:Average:900;testAE1 CYL1 LINER 1 TEM:1701:  C:Average:900
AE1 CYL1 LINER 1 TEM:1703:-:Average:900;testAE1 CYL1 LINER 1 TEM:1703:-:Average:900
AE1 CYL1 LINER 2 TEM:1704:  C:Average:900;testAE1 CYL1 LINER 2 TEM:1704:  C:Average:900
AE1 CYL1 LINER 2 TEM:1706:-:Average:900;testAE1 CYL1 LINER 2 TEM:1706:-:Average:900
AE1 CYL1 VC EXH TEMP:1501:  C:Average:900;testAE1 CYL1 VC EXH TEMP:1501:  C:Average:900
AE1 CYL1 VD EXH TEMP:1502:  C:Average:900;testAE1 CYL1 VD EXH TEMP:1502:  C:Average:900
AE1 CYL2 LINER 1 TEM:1707:  C:Average:900;testAE1 CYL2 LINER 1 TEM:1707:  C:Average:900
AE1 CYL2 LINER 1 TEM:1709:-:Average:900;testAE1 CYL2 LINER 1 TEM:1709:-:Average:900
AE1 CYL2 LINER 2 TEM:1713:-:Average:900;testAE1 CYL2 LINER 2 TEM:1713:-:Average:900
AE1 CYL2 VC EXH TEMP:1503:  C:Average:900;testAE1 CYL2 VC EXH TEMP:1503:  C:Average:900
AE1 CYL2 VD EXH TEMP:1504:  C:Average:900;testAE1 CYL2 VD EXH TEMP:1504:  C:Average:900
AE1 CYL3 LINER 1 TEM:1714:  C:Average:900;testAE1 CYL3 LINER 1 TEM:1714:  C:Average:900
AE1 CYL3 LINER 1 TEM:1716:-:Average:900;testAE1 CYL3 LINER 1 TEM:1716:-:Average:900
AE1 CYL3 LINER 2 TEM:1717:  C:Average:900;testAE1 CYL3 LINER 2 TEM:1717:  C:Average:900
AE1 CYL3 LINER 2 TEM:1719:-:Average:900;testAE1 CYL3 LINER 2 TEM:1719:-:Average:900
AE1 CYL3 VC EXH TEMP:1505:  C:Average:900;testAE1 CYL3 VC EXH TEMP:1505:  C:Average:900
AE1 CYL3 VD EXH TEMP:1506:  C:Average:900;testAE1 CYL3 VD EXH TEMP:1506:  C:Average:900
AE1 CYL4 LINER 1 TEM:1721:  C:Average:900;testAE1 CYL4 LINER 1 TEM:1721:  C:Average:900
AE1 CYL4 LINER 1 TEM:1723:-:Average:900;testAE1 CYL4 LINER 1 TEM:1723:-:Average:900
